aoa,cl_sech,cd_sech,cm_sech,cl_sinc,cd_sinc,cm_sinc,cl_ufov4,cd_ufov4,cm_ufov4
0,-0.0157,0.279,0.0181,-0.16,1.74,0.206,-0.0139,0.667,0.0122
1,1.07,0.302,1.42,0.3,1.74,2.65,0.881,0.696,1.13
2,2.43,0.376,2.71,1.07,1.79,4.73,1.78,0.727,2.31
3,3.16,0.421,4.68,1.48,1.84,7.45,3.05,0.829,3.23
4,4.85,0.597,5.94,2.29,1.94,9.71,3.92,0.934,4.73
5,6.06,0.746,7.59,3.14,2.06,12.1,5.41,1.14,5.85
6,7.36,0.943,9.4,3.93,2.24,14.6,6.55,1.37,7.39
7,8.72,1.21,11.0,4.93,2.42,17.0,7.98,1.62,8.77
8,10.3,1.53,12.6,6.23,2.7,19.2,9.48,1.96,10.2
9,11.8,1.88,14.6,7.51,2.99,21.5,11.2,2.4,11.8
10,13.7,2.39,16.1,8.96,3.38,23.9,12.9,2.86,13.5
11,15.6,2.94,18.1,10.7,3.81,25.9,14.9,3.45,15.2
12,17.3,3.51,20.5,12.5,4.37,28.3,16.9,4.12,17.1
13,,,,14.3,4.91,30.6,19.2,4.95,19.3
14,,,,16.1,5.55,33.1,21.3,5.81,21.4
15,,,,18.5,6.33,35.1,23.6,6.94,22.9
